row_id,id,topics
352,1329.0,"[(0, 1), (3, 1)]"
353,133.0,"[(1, 2), (3, 1)]"
354,1330.0,"[(0, 1), (3, 1)]"
355,1331.0,"[(8, 3), (0, 3), (3, 2), (7, 2), (1, 1), (5, 1)]"
356,1332.0,"[(0, 1), (1, 1)]"
357,1333.0,"[(0, 1), (1, 1)]"
358,1334.0,"[(5, 1)]"
359,1335.0,"[(0, 3)]"
360,1336.0,"[(3, 3), (1, 1), (7, 1)]"
361,1337.0,"[(6, 1), (3, 1)]"
362,1338.0,"[(3, 2), (7, 1)]"
363,1339.0,"[(3, 2), (7, 1)]"
364,134.0,"[(1, 2), (3, 2), (5, 1), (7, 1)]"
365,1340.0,"[(1, 1), (5, 1)]"
366,1341.0,"[(1, 1), (5, 1)]"
367,1342.0,"[(0, 2), (1, 1), (9, 1)]"
368,1343.0,"[(1, 1)]"
369,1344.0,"[(4, 1), (9, 1)]"
370,1345.0,"[(5, 3), (0, 3), (7, 2), (8, 1), (3, 1), (2, 1), (4, 1)]"
371,1346.0,"[(1, 9), (5, 1)]"
372,1347.0,"[(1, 4), (5, 1)]"
373,1348.0,"[(1, 1), (3, 1)]"
374,1349.0,"[(1, 2), (0, 1)]"
375,135.0,"[(1, 3), (9, 2), (0, 1)]"
376,1350.0,"[(3, 2), (6, 1)]"
377,1351.0,"[(3, 1), (6, 1)]"
378,1352.0,"[(1, 1)]"
379,1353.0,"[(1, 1), (5, 1), (8, 1)]"
380,1354.0,"[(1, 1), (5, 1), (8, 1)]"
381,1355.0,"[(0, 4), (7, 3), (2, 2)]"
382,1356.0,"[(4, 2), (0, 1), (2, 1)]"
383,1357.0,"[(5, 12), (8, 3), (0, 2), (2, 2), (7, 2), (9, 2), (4, 1)]"
384,1358.0,"[(1, 1)]"
385,1359.0,"[(3, 2), (5, 2), (1, 1), (6, 1)]"
386,136.0,"[(1, 2), (3, 1)]"
387,1360.0,"[(3, 1), (6, 1)]"
388,1361.0,"[(0, 14), (7, 5), (2, 2), (1, 1), (4, 1), (8, 1)]"
389,1362.0,"[(1, 1), (3, 1)]"
390,1363.0,"[(1, 1), (4, 1)]"
391,1364.0,"[(1, 1)]"
392,1365.0,"[(0, 1), (1, 1), (2, 1), (3, 1), (5, 1), (7, 1)]"
393,1366.0,"[(1, 1)]"
394,1367.0,"[(1, 1), (5, 1)]"
395,1368.0,"[(1, 1)]"
396,1369.0,"[(3, 2), (1, 1), (6, 1), (5, 1)]"
397,137.0,"[(1, 1)]"
398,1370.0,"[(4, 15), (9, 10), (3, 5), (1, 4), (0, 4), (7, 3), (2, 1), (6, 1)]"
399,1371.0,"[(1, 2), (2, 2)]"
400,1372.0,"[(1, 2)]"
401,1373.0,"[(1, 1)]"
402,1374.0,"[(1, 2), (3, 1), (9, 1)]"
403,1375.0,"[(2, 1), (6, 1)]"
404,1376.0,"[(0, 2), (7, 2), (9, 1)]"
405,1377.0,"[(0, 1), (7, 1)]"
406,1378.0,"[(0, 1), (7, 1)]"
407,1379.0,"[(1, 1)]"
408,138.0,"[(1, 1)]"
409,1380.0,"[(1, 1)]"
410,1381.0,"[(1, 1), (2, 1)]"
411,1382.0,"[(1, 1), (9, 1)]"
412,1383.0,"[(1, 1), (9, 1)]"
413,1384.0,"[(1, 1), (4, 1), (6, 1)]"
414,1385.0,"[(1, 2), (4, 1), (6, 1)]"
415,1386.0,"[(4, 4), (9, 1)]"
416,1387.0,"[(3, 1)]"
417,1388.0,"[(3, 3), (2, 1), (6, 1)]"
418,1389.0,"[(1, 1), (3, 1), (7, 1)]"
419,139.0,"[(6, 1), (1, 1), (3, 1)]"
420,1390.0,"[(6, 1), (8, 1)]"
421,1391.0,"[(6, 1), (8, 1)]"
422,1392.0,"[(1, 3), (9, 2)]"
423,1393.0,"[(1, 2), (9, 1)]"
424,1394.0,"[(1, 2), (9, 1)]"
425,1395.0,"[(3, 1), (9, 1)]"
426,1396.0,"[(1, 1), (3, 1), (4, 1)]"
427,1397.0,"[(1, 3), (3, 2), (4, 2)]"
428,1398.0,"[(1, 6), (2, 1), (4, 1), (8, 1), (9, 1)]"
429,1399.0,"[(1, 2)]"
430,14.0,"[(1, 2)]"
431,140.0,"[(6, 6), (1, 4), (5, 4), (9, 3), (4, 2), (2, 1)]"
432,1400.0,"[(1, 2)]"
433,1401.0,"[(1, 2)]"
434,1402.0,"[(3, 1)]"
435,1403.0,"[(9, 6), (0, 5), (4, 4), (8, 3), (3, 2), (1, 1), (6, 1)]"
436,1404.0,"[(0, 7), (1, 3), (9, 3), (8, 1), (2, 1), (6, 1)]"
437,1405.0,"[(0, 2), (2, 1)]"
438,1406.0,"[(0, 2), (2, 1)]"
439,1407.0,"[(3, 1), (7, 1)]"
440,1408.0,"[(3, 1), (7, 1)]"
441,1409.0,"[(0, 1), (7, 1)]"
442,141.0,"[(1, 1)]"
